unix,open,high,low,close,volume_btc,volume_usd
1682467200000,28301.98,28479.85,28264.12,28311.83,14.76964889,418155.7885
1682463600000,28230.84,28357.12,28175.36,28301.98,9.22089998,260969.7268
1682460000000,28279.12,28400.0,28218.21,28230.84,19.6490925,554710.3865
1682456400000,27979.84,28300.0,27979.84,28279.12,45.26386521,1280022.276
1682452800000,27609.13,28056.0,27609.13,27979.84,44.51898522,1245634.083
1682449200000,27564.12,27653.61,27470.28,27609.13,14.35796036,396410.7941
1682445600000,27626.37,27765.93,27554.72,27564.12,28.85716021,795422.2269
1682442000000,27384.96,27644.3,27318.64,27626.37,32.89927051,908887.4198
1682438400000,27350.66,27421.92,27320.17,27384.96,6.28437296,172097.3021
1682434800000,27287.95,27438.55,27273.86,27350.66,12.7069263,347542.8209
1682431200000,27350.74,27380.0,27217.26,27287.95,11.25555653,307141.0638
1682427600000,27386.95,27455.82,27314.2,27350.74,6.09378826,166669.6183
1682424000000,27385.64,27468.12,27357.5,27386.95,4.58664817,125614.3041
1682420400000,27324.35,27436.22,27312.25,27385.64,8.00659172,219265.6385
1682416800000,27311.73,27342.55,27295.0,27324.35,1.41311039,38612.32288
1682413200000,27423.0,27431.05,27287.22,27311.73,1.37226665,37478.97623
1682409600000,27274.74,27423.0,27201.0,27423.0,2.88379832,79082.40133
1682406000000,27358.08,27405.05,27252.84,27274.74,1.29856031,35417.89483
1682402400000,27420.9,27447.05,27344.05,27358.08,1.01070032,27650.82021
1682398800000,27406.25,27449.0,27326.88,27420.9,3.3011245,90519.8048
1682395200000,27337.91,27442.23,27331.92,27406.25,2.29194358,62813.57874
1682391600000,27402.78,27433.73,27328.76,27337.91,3.26291406,89201.25091
1682388000000,27401.44,27428.99,27333.33,27402.78,4.5599582,124955.5314
1682384400000,27462.86,27516.08,27376.13,27401.44,4.5095832,123569.0735
1682380800000,27510.9,27584.44,27441.67,27462.86,12.69051779,348517.9134
1682377200000,27467.32,27562.13,27450.01,27510.9,16.2668122,447514.6438
1682373600000,27416.95,27517.67,27372.6,27467.32,9.39645714,258095.4951
1682370000000,27474.7,27474.7,27333.0,27416.95,11.16536149,306120.1577
1682366400000,27354.26,27501.86,27335.52,27474.7,47.49601339,1304938.719
1682362800000,27336.93,27407.75,27316.77,27354.26,7.55105056,206553.4003
1682359200000,27371.02,27587.0,27290.13,27336.93,21.36784833,584131.374
1682355600000,27117.58,27405.48,26947.32,27371.02,43.18676356,1182065.769
1682352000000,27249.3,27389.09,27047.19,27117.58,39.47898816,1070574.62
1682348400000,27409.17,27420.72,27213.36,27249.3,38.57221501,1051065.858
1682344800000,27615.29,27690.66,27271.6,27409.17,32.46034304,889711.0606
1682341200000,27436.63,27717.81,27364.38,27615.29,35.64435887,984329.3071
1682337600000,27533.87,27562.48,27420.79,27436.63,18.70737719,513267.3862
1682334000000,27414.19,27533.87,27377.68,27533.87,3.82385262,105285.4609
1682330400000,27312.29,27429.11,27305.37,27414.19,1.48669275,40756.47752
1682326800000,27184.3,27352.41,27161.03,27312.29,3.59029118,98059.07389
1682323200000,27433.69,27507.51,27157.59,27184.3,20.31362054,552211.5548
1682319600000,27540.04,27544.41,27350.0,27433.69,19.43364305,533136.539
1682316000000,27650.57,27705.18,27470.0,27540.04,20.02396843,551460.8915
1682312400000,27703.24,27761.45,27641.89,27650.57,3.0798117,85158.549
1682308800000,27775.0,27787.56,27692.9,27703.24,1.44827347,40121.86753
1682305200000,27738.87,27788.5,27682.72,27775.0,4.78663325,132948.7385
1682301600000,27760.01,27814.99,27672.3,27738.87,6.03827681,167494.9755
1682298000000,27798.27,27993.9,27696.41,27760.01,18.77434848,521176.1015
1682294400000,27582.73,27854.27,27425.22,27798.27,8.16499364,226972.6978
1682290800000,27598.69,27625.0,27544.63,27582.73,67.84905484,1871462.16
1682287200000,27514.51,27635.66,27421.83,27598.69,5.14659869,142039.3818
1682283600000,27500.0,27548.73,27495.0,27514.51,4.91582704,135256.5723
1682280000000,27472.69,27546.02,27411.08,27500.0,12.34457076,339475.6959
1682276400000,27450.5,27524.15,27422.72,27472.69,14.20096218,390138.6317
1682272800000,27520.63,27548.7,27354.51,27450.5,3.47903153,95501.15501
1682269200000,27593.44,27630.36,27489.37,27520.63,2.29995476,63296.20397
1682265600000,27481.72,27686.42,27389.44,27593.44,4.2073286,116094.6693
1682262000000,27557.78,27582.12,27350.0,27481.72,17.1176568,470422.6512
1682258400000,27637.15,27683.86,27521.4,27557.78,7.74704,213491.224
1682254800000,27615.28,27671.48,27596.86,27637.15,1.12418832,31069.36123
1682251200000,27645.0,27734.48,27614.87,27615.28,2.84688921,78617.64266
1682247600000,27538.68,27668.3,27525.76,27645.0,1.34142547,37083.70712
1682244000000,27634.45,27659.25,27507.72,27538.68,0.22327914,6148.812787
1682240400000,27720.57,27734.21,27617.06,27634.45,0.79126836,21866.26593
1682236800000,27739.49,27765.93,27676.86,27720.57,1.20330769,33356.37505
1682233200000,27591.06,27756.16,27563.43,27739.49,0.6943906,19262.0411
1682229600000,27597.04,27633.08,27573.24,27591.06,2.40618065,66389.07468
1682226000000,27622.95,27630.2,27540.9,27597.04,1.40867457,38875.24846
1682222400000,27569.71,27631.15,27547.37,27622.95,2.72076945,75155.67848
1682218800000,27607.44,27649.01,27539.28,27569.71,1.72525072,47564.66203
1682215200000,27560.24,27615.01,27497.44,27607.44,3.71746794,102629.7731
1682211600000,27549.75,27672.2,27484.42,27560.24,3.36237755,92667.93225
1682208000000,27818.97,27819.87,27449.86,27549.75,17.48693914,481760.8016
1682204400000,27866.71,27884.77,27807.16,27818.97,15.04753339,418606.88
1682200800000,27674.13,27886.42,27656.48,27866.71,10.89675934,303656.8325
1682197200000,27652.19,27674.13,27583.03,27674.13,7.71654276,213548.6075
1682193600000,27640.27,27714.89,27635.27,27652.19,8.20520554,226891.9026
1682190000000,27614.05,27669.93,27599.0,27640.27,14.84106307,410210.9903
1682186400000,27679.12,27684.12,27544.11,27614.05,13.38348869,369572.3259
1682182800000,27590.81,27780.33,27590.81,27679.12,19.69681572,545190.5259
1682179200000,27479.69,27686.42,27479.69,27590.81,41.0225244,1131844.676
1682175600000,27472.88,27563.16,27375.93,27479.69,21.13908751,580895.5717
1682172000000,27255.12,27487.37,27250.48,27472.88,6.35587404,174614.1648
1682168400000,27338.21,27350.2,27231.22,27255.12,7.3612045,200630.512
1682164800000,27282.51,27356.48,27278.08,27338.21,2.62736312,71827.40472
1682161200000,27239.18,27304.04,27238.99,27282.51,2.84950288,77741.59082
1682157600000,27237.4,27255.73,27182.33,27239.18,0.6317428,17208.15584
1682154000000,27203.93,27267.81,27203.93,27237.4,0.56809494,15473.42912
1682150400000,27268.16,27296.8,27185.43,27203.93,1.0737211,29209.43364
1682146800000,27325.95,27343.15,27225.69,27268.16,5.84983608,159514.2662
1682143200000,27360.12,27378.3,27302.02,27325.95,0.76648237,20944.85892
1682139600000,27325.3,27379.79,27302.03,27360.12,2.93912318,80414.7629
1682136000000,27301.93,27354.5,27294.99,27325.3,5.12431324,140023.3966
1682132400000,27222.5,27332.62,27214.27,27301.93,4.89164417,133551.3267
1682128800000,27154.44,27308.29,27154.44,27222.5,12.46706783,339384.754
1682125200000,27204.99,27238.37,26999.0,27154.44,107.7515754,2925933.69
1682121600000,27244.77,27314.34,27200.01,27204.99,12.82545395,348916.3465
1682118000000,27257.8,27321.83,27232.57,27244.77,5.90417716,160857.9488
1682114400000,27263.88,27428.0,27132.54,27257.8,29.11976359,793740.692
1682110800000,27244.25,27350.0,27212.5,27263.88,29.87645347,814548.0422
1682107200000,27237.78,27377.05,27150.0,27244.25,119.1331821,3245694.195
1682103600000,27749.01,27781.73,27178.0,27237.78,132.7233267,3615088.775
1682100000000,27874.54,27966.63,27705.42,27749.01,48.59337179,1348417.96
1682096400000,28010.28,28038.2,27755.4,27874.54,40.35131466,1124774.335
1682092800000,28003.76,28080.28,27931.87,28010.28,35.35789458,990384.5274
1682089200000,28015.0,28120.48,27951.39,28003.76,39.32755123,1101319.306
1682085600000,28077.67,28200.0,28000.0,28015.0,43.03143319,1205525.601
